"","Date","Type","Dead","Injured","Location","Details","Perpetrator","Part of","Month"
"217","11","Bombing","7+","20+","Yola, Nigeria","A bomb was detonated in Yola, Adamawa State and killed at least 7 people and wounded another 20. The attack occurred in Malkohi camp, were displaced people from Boko Haram's insurgency found shelter.[84]","Boko Haram (suspected)","Boko Haram insurgency",9
"218","14","Stone-throwing","1","2","East Jerusalem","Abed Mohamed Abed Rabu Dawiat (19) and his gang ambushed and stoned an Israeli vehicle in Jerusalem, causing it to lose control and crash. The driver, 64-year-old Alexander Levlovitch, succumbed to his wounds and two other passenger were injured. The attack occurred on the eve of Rosh Hashanah.[85]","Abed Mohamed Abed Rabu Dawiat and his gang","Israeli-Palestinian conflict",9
"219","14","Car bomb","20+","70+","Al-Hasakah, Syria","A suicide car bomb was detonated in Khashman neighborhood Al-Hasakah city in northern Syria. Half-an-hour later, a second a truck full with explosives was detonated in the Western part of the city, bringing the death toll to at least 20-30 deaths and over 70 injuries including women and children. Russian sources claimed that Khaled Taha - the governor of the region and his family are buried under the rubble of a house destroyed by a blast. Al-Hasakah was recently retaken from Islamic State by YPG and Syrian forces and administrated by the government of Syria and Rojava. Islamic State is suspected for the attack.","Islamic State (suspected)","Syrian civil war",9
"220","17","Melee attack","0 (+1)","1","Berlin, Germany","Forty-one-year-old Iraqi citizen, identified only as Rafik Y stabbed a German policewoman in the neck. The policewoman was sent after she and her partner responded to calls of a man wielding a knife. The other policeman then shot Rafik and he died of his wounds.[86]","Rafik Y","lone wolf",9
"221","17","Bombing, shooting","20","10+","Peshawar, Pakistan","Taliban militants attacked a military base on the outskirts of Peshawar, killing 20, including 16 in a mosque. In the subsequent gunfight, 13 militants were reported to have been killed by security forces. 10 soldiers and an unknown number of civilians were injured during the attack.[87]","Taliban","",9
"222","20","Suicide bombing","3 (+2)","unknown","Mora, Cameroon","Two of Boko Haram's female suicide bombers detonated themselves in the Galdi neighbourhood near the entrance to the northern town of Mora. The blasts killed two civilians and a police officer.[88]","Boko Haram","Boko Haram insurgency",9
"223","20","Bombing, Suicide Bombing","145","97-150+","Maiduguri, Nigeria","September 2015 Maiduguri bombing: Boko Haram executed a series of blasts, some of which were Suicide bombings, in the north eastern city of Maiduguri, targeting a market and civilians in a mosque during night pray and a football match viewers, bringing the total number of casualties to at least 53 dead and over 90 wounded. The attack was said to be made using homemade weapons.[89]","Boko Haram","Boko Haram insurgency",9
"224","24","Suicide bombing","10-25+ (+2)","36+","Sana'a, Yemen","Two Islamic State militants committed a suicide bombing at Balili mosque in Sana'a: one inside the mosque, and then another another in the entrance to the mosque, killing people who tried to flee the building. At least 25 were killed and another 36 wounded. The attack occurred on the first day of Eid al-Adha festival.[90][91]","Islamic State","Yemeni civil war",9
"225","26","Bombing","2","16","Arish, Sinai, Egypt","Islamic State militants detonated a roadside bomb on a convoy of policemen who were setting up a checkpoint near Arish. The attacked killed two policemen and wounded another 16.[92][93]","Ansar Bait al-Maqdis (Islamic State)","Sinai Insurgency",9
"226","26","Raid, arson","15","4","Diffa Region, Niger","Boko Haram militants raided a village in Niger close to the Nigerian border, killing 15 civilians. The militants also burned 22 houses, a mill and a car, leaving 4 people wounded.[94]","Boko Haram","Boko Haram insurgency",9
"227","28","Raid, kidnapping, arson","8","Unknown
1 kidnapped","Tika, Cameroon","Suspected Boko Haram militants attakced Tika in northern Cameroon, killed 8 residents and kidnapped a three-years-old girl. Military sources said the attackers also set on fire over 100 houses.[95]","Boko Haram","Boko Haram insurgency",9
"228","28","Bombing","10","33","Zarghun Shar, Afghanistan","Unknown militants planted bombs on a motorbike and detonated it during a volleyball game in Zarghun Shar. The blasts killed 10 people and injured another 33, including children. both Taliban and Haqqani network suspected for this attack.[96]","Taliban or Haqqani network (suspected)","War in Afghanistan",9
"229","1","Bombing","0","18","Polomolok, South Cotabato, Philippines","Unknown militants detonated an improvised explosive device inside a passenger bus in Polomolok, southern Philippines. 18 people were left injured. Abu Sayyaf is suspected in the attack due to its history of bombings in the area.[97][98]","Abu Sayyaf (suspected)","Moro Conflict",10
"230","1","Bombing","4","6","Isabela City, Basilan, Philippines","Unknown militants have placed an explosive device on a motorcycle taxi and detonated it at a convoy of Vice Mayor Abdubaki Ajibon of Isabela City. The blast killed Abdubaki Ajibon's driver, another passenger and two pedestrians, 6 others were wounded. Abdubaki Ajibon was reported unhurt. Abu Sayyaf is suspected in the attack due to its history of bombings in the area.[97][98]","Abu Sayyaf (suspected)","Moro Conflict",10
"231","1","Shooting","2","0","West Bank","Murder of Eitam and Na'ama Henkin: Five of a Hamas terrorist cell in the West Bank killed Eitam and Naama Henkin, parents of a Jewish family driving home from a meeting of yeshiva graduates, on a road near Nablus in the northern West Bank. Their four children, who were sitting in the car's back seat, were unhurt.[99][100] The attackers were caught and confessed their crimes on 5 October 2015.[101]","Hamas affiliated cell","Israeli-Palestinian conflict",10
"232","1","Attack","4","7","Mardin, Turkey","Four Turkish soldiers were killed in PKK attacks across southeastern Turkey.[102]","PKK","Turkish-PKK conflict",10
"233","2","Shooting","1 (+1)","0","Parramatta, Sydney, Australia","2015 Parramatta shooting: 15-year-old Farhad Khalil Mohammad Jabar shot dead an unarmed civilian police employee, working in finance, outside the NSW Police headquarters on Charles Street in Parramatta, New South Wales. The shooter was fatally shot by responding special constables after firing on them.[103]","Farhad Khalil Mohammad Jabar (lone wolf)","Terrorism in Australia",10
"234","2","Suicide bombing","18","41","Abuja, Nigeria","Male and female suicide bombers detonated their bombs outside a police station and a bus stop in Abuja, Nigeria's capital. Eighteen were killed with 41 wounded.[104]","Boko Haram","Boko Haram insurgency",10
"235","3","Melee attack, Shooting","2 (+1)","2","East Jerusalem","Lions' Gate stabbing: Mohannad Hallabi (age 19) stabbed four people. He then took a firearm from one of the wounded and started shooting at civilians and police officers who shot back and killed him. Two men died from stab wounds, a woman and her two-year-old toddler were wounded. The incident occurred in the Old City of Jerusalem.[105][106]","Mohannad Hallabi
(lone wolf)","Israeli-Palestinian conflict",10
"236","4","Melee attack","0 (+1)","1","East Jerusalem","Fadi Aloon stabbed a 15-years-old Jewish teenager near Damascus Gate in Jerusalem, leaving him with moderate wounds. The attacker was shot and killed by police officers.[107] Palestinians cast doubts on the Israeli report that Alon tried to stab a Jew. Based on a video they claimed that a group of Jews attacked him and called on the police to shoot him without reason.[108]","Fadi Aloon (lone wolf)","Israeli-Palestinian conflict",10
"237","4","Suicide bombing","8","11","Diffa, Niger","A suicide bomber blew himself up when confronted by a police officer in Diffa. The police officer and six civilians were killed in the attack which wounded eleven other civilians. One suspect in a group associated with the bomber was shot and killed while fleeing police forces and two more were arrested. Boko Haram is suspected in the attack.[109]","Boko Haram (suspected)","Boko Haram insurgency",10
"238","5","Suicide bombing, car bomb","57","Unknown","Baghdad, Iraq","Thirty-five people were killed after a car bomb parked outside a crowded market in Khalis exploded. The town is fifty miles outside Baghdad, Iraq. Also, in Al Zubair ten were killed along with twelve more killed in the Hussainiya district in other attacks. Islamic State claimed responsibility for the attacks.[110]","Islamic State","Iraq War",10
"239","7","Suicide bombing","7","3","Sana'a, Yemen","An Islamic State suicide bomber detonated himself on a group of Houthi rebels in a mosque in Sana'a. The blast killed seven and left three wounded, the Houthi rebels report.[111]","Islamic State","Yemeni Civil War",10
"240","7","Melee attack","0","1 (+1)","East Jerusalem","18-year-old Palestinian woman attacked an Israeli man with a knife near the Lions' Gate. The victim was able to draw his gun and shoot his attacker. Both were hospitalized; both were expected to live.[112][113]","(lone wolf)","Israeli-Palestinian conflict",10
"241","7","Melee attack","0 (+1)","1","Kiryat Gat, Israel","Amjad al Jundi (18) stabbed an Israeli soldier and snatched his rifle, leaving him with light wounds. He then entered an apartment in a nearby building, trying to attack a woman. When finding out there are no bullets in the rifle, he picked a knife from the kitchen and the woman managed to flee the apartment. Police entered and shot him dead. The attacker was illegally staying in Israel and Hamas confirmed he is a member of the organization.[114][115]","Amjad al Jundi (of Hamas)","Israeli-Palestinian conflict",10
"242","7","Melee attack","0","1","Petah Tikwa, Israel","Tamer Yunis Ahmed (25), resident of the West Bank, stabbed an Israeli man outside an entrance to a large mall in Petah Tikwa, leaving him with light wounds. The attacker was overpowered by civilians and was arrested by the police.[116]","Tamer Yunis Ahmed (Lone wolf)","Israeli-Palestinian conflict",10
"243","8","Melee attack","0","1","East Jerusalem","Subhi Ibrahim Mohammed Abu Khalifa (19) stabbed a Jewish man in his upper body, leaving him seriously injured. Another man confronted him and was wounded as well. The assailant was arrested by Yasam forces.[117]","Subhi Ibrahim Mohammed Abu Khalifa (Lone wolf)","Israeli-Palestinian conflict",10
"244","8","Melee attack","0 (+1)","4","Tel Aviv, Israel","Tair Abu Gazala (19) from East Jerusalem stabbed four people using a screwdriver near HaHagana Station in Tel Aviv, leaving them with light wounds. An IDF soldier shot and killed him.[118]","Tair Abu Gazala (Lone wolf)","Israeli-Palestinian conflict",10
"245","8","Melee attack","0","1","Kiryat Arba, West Bank","Unidentified man stabbed a Jewish man in Kiryat Arba settlement in the West Bank, leaving him with serious wounds. The attacker fled the scene and IDF soldiers begun searching for him.[119]","Palestinian Lone wolf (suspected)","Israeli-Palestinian conflict",10
"246","8","Melee attack","0","2","Afula, Israel","Tarak Yahya (20) stabbed two people in Afula, leaving them with light wounds. Civilians that were in the scene overpowered the attacker and police arrested him.[120]","Tarak Yahya (Lone wolf)","Israeli-Palestinian conflict",10
"247","9","Melee attack","0","4","Dimona, Israel","Unidentified seventeen-year-old Jewish teen with psychiatric history stabbed four Bedouin Arab, leaving two with moderate wounds and two with minor wounds. He was arrested by the police.[121]","Jewish teen (Lone wolf)","Israeli-Palestinian conflict",10
"248","9","Melee attack","0","1","Kiryat Arba, West Bank","A Palestinian man stabbed a forty-seven-year-old Israeli police officer during a security check, leaving him with light wounds. The attacker fled the scene and soldiers are searching for him.[122]","Palestinian lone wolf","Israeli-Palestinian conflict",10
"249","9","Melee attack","0","1","East Jerusalem","Unknown attacker stabbed a sixteen-year-old Jewish teen in East Jerusalem, leaving him with minor wounds. An Arab from the city was arrested on suspicion of perpetrating the attack.[122]","Palestinian lone wolf (suspected)","Israeli-Palestinian conflict",10
"250","10","Suicide bombing","102","508","Ankara, Turkey","2015 Ankara bombings: Two suicide bombers blew themselves up near Ankara central station where a rally for peace supported by HDP was taking place.[123] The attack left 102 dead[124] and 508 injured.[125]","Islamic State","Turkey–ISIL conflict",10
"251","10","Melee attack","0 (+1)","2","East Jerusalem","Ishak Badran (16) stabbed two Jews in their sixties in East Jerusalem, leaving them with light and moderate wounds. He then rushed toward Israeli police officers who ordered him to halt and was shot dead.[126]","Ishak Badran (lone wolf)","Israeli-Palestinian conflict",10
"252","10","Melee attack","0 (+1)","3","East Jerusalem","Muhammad Ali (19) stabbed two Israeli policemen near Damascus Gate in East Jerusalem, moderately injuring them. He was shot dead by other policemen and during the take down another Israeli policemen was seriously injured from friendly fire.[127]","Muhammad Ali (lone wolf)","Israeli-Palestinian conflict",10
"253","10","Suicide bombing","38","51","N'Djamena, Chad","Two groups of suicide bombers attacked a refugee center in N'Djamena and a market in Baga Sola, Chad. Thirty-eight were killed and fifty-one wounded. Boko Haram is suspects in the attacks.[128]","Boko Haram suspected","Boko Haram insurgency",10
"254","11","Shooting","1 (+1)","1","Omeath, Ireland","","New IRA","Dissident republican campaign",10
"255","11","Bombing, Stabbing","0","5","Highway 65, West Bank","Four Israelis were stabbed and wounded by an Isreili-Arab, another police officer was wounded by a driver detonated bomb the morning after.[129]","lone wolf","Israeli-Palestinian conflict",10
"256","12","Suicide bombing","9 (+2)","unknown","Kangaleri, Cameroon","Two suicide bombers blew themselves up in a restaurant in the north of Cameroon.[130]","Boko Haram suspected","Boko Haram insurgency",10
"257","13","Melee attack","0","1 (+1)","Ra'anana, Israel","A Palestinian man stabbed an Israeli man in a bus station near the city hall of Ra'anana, leaving him with light stab wounds. Civilians overpowered the attackers and he was arrested by the police.[131]","Palestinian lone wolf","Israeli-Palestinian conflict",10
"258","13","Shooting, Melee attack","3 (+1)","15 (+1)","East Jerusalem","Baha Aliyan (22) and Bilal Ranem (23), armed with a firearm and a knife boarded a bus in East Jerusalem and started attacking and stabbing the passengers. One of the assailants tried to take control on the bus and locked the bus door to prevent the passengers from escaping. Police arrived, killed one of the assailants and neutralized the other, who left two dead and sixteen wounded.[131][132] Another man succumbed to his wounds on 27 October 2015.[133]","Baha Aliyan and Bilal Ranem ()","Israeli-Palestinian conflict",10
"259","13","Vehicular assault, Melee attack","1 (+1)","4","Jerusalem, Israel","Alaa Abu Jamal rammed into a crowd of people waiting in a bus station in West Jerusalem, then went out of the vehicle and started stabbing the victims until he was neutralized by a security guard and was killed. One Rabbi died and another four people were injured, others were treated for anxiety.[131]","Alaa Abu Jamal (lone wolf)","Israeli-Palestinian conflict",10
"260","13","Melee attack","0","4 (+1)","Ra'anana, Israel","A Palestinian man stabbed four people in a bus stop in Ra'anana and fled the scene when he was caught by civilians who neutralized him and the police arrested him.[131]","Palestinian lone wolf","Israeli-Palestinian conflict",10
"261","13","Melee attack","0","1","Kiryat Ata, Israel","A Jewish man searched for Arabs near IKEA shop in Kiryat Ata and stabbed a man who he thought was an Arab but was Jewish, leaving him with moderate wounds. The attacker was subdued and the police arrested him.[131]","Israeli Jewish lone wolf","Israeli-Palestinian conflict",10
"262","14","Melee attack","0 (+1)","1","East Jerusalem","Ahmed Shaaban (23) stabbed a 50-year-old woman in East Jerusalem, leaving her with moderate to serious injuries. He then tried to board a bus but was shot dead by police.[134]","Ahmed Shaaban (23) (lone wolf)","Israeli-Palestinian conflict",10
"263","14","Suicide bombing","42","0","Maiduguri, Nigeria","A suicide bomber detonated his bomb in a mosque around Molai area of Maiduguri.[135]","Boko Haram","Boko Haram insurgency",10
"264","16","Melee attack","5 (+1)","4","Saihat, Saudi Arabia","An Islamist militant opened fire at Shias who were attending a religious mourning ceremony at the religious center in Saihat, Saudi Arabia, killed five, injured another four and was shot dead during a gun fight with security forces. Islamic State claimed responsibility for the attack but Saudi security forces said the attack was made by ""Saudi nationals"" [136]","Islamic State or Saudi nationalists","",10
"265","18","Shooting","2 (+1)","11","Be'er Sheva, Israel","Beersheva bus station shooting: Muhand al-Okabi, an Israeli Bedouin shot and killed an Israeli soldier with a firearm in Be'er Sheva main Bus station. He then picked the soldier's rifle and clashed with other armed guards and soldiers, wounding a total of 10, four cops among them. Police accidentally shot an Eritrean man who was presumed to be a second attacker, possibly because of his skin-color. Locals beat him and he later died.[137][138] According to Negev police the attacker had been in contact with Hamas for a long time. However Israeli intelligence officials said they were not aware of any contact with Hamas or any orchestration by Hamas of the attack.[139]","Muhand al-Okabi (lone wolf)","Israeli-Palestinian conflict",10
"266","19","Bus bombing","11","22","Quetta
Pakistan","2015 Quetta bus bombing: At least 11 people were killed and another 22 were wounded after a bomb exploded in a bus in Quetta, Balochistan.[140][141][142]","Unknown","Balochistan conflict",10
"267","19","Kidnapping","2","","Bhutan
Philippines","Loreto Mayor Dario Otaza and his son Daryl were kidnapped and killed by the New People's Army (NPA). The militant group says that Otaza and his son were guilty of war crimes, crimes against humanity and other human rights violations. Otaza was also a former NPA commander and a Lumad himself and has been advocating against the armed struggle and for the reintegration of NPA rebels to mainstream society. 19 NPA members has been criminally charged for the incident.[143][144]","New People's Army","CPP-NPA-NDF rebellion",10
"268","22","Melee attack","3 (+1)","1","Trollhättan, Sweden","Trollhättan school attack: 21-year-old Anton Lundin Pettersson attacked Kronan School in Trollhättan, Sweden, with a sword. He killed a teaching assistant and a male student, stabbed another male student and a teacher, and died later of the gunshot wounds he received during his apprehension. The second teacher who was wounded died in hospital six weeks after the attack, on 3 December.","Anton Lundin Pettersson","None",10
"269","23","bombing","11","10","Maiduguri, Nigeria","Millitants detonated a bomb at a Mosque during dawn prayers in Maiduguri in northeast Nigeria, killing 11 and wounding another 10 people. Boko Haram is suspected for the attack.[145]","Boko Haram (suspected)","Boko Haram insurgency",10
"270","23","Bombing","0","4","Giza, Egypt","Four people including two Egyptian policemen were wounded Friday in a failed attempt to dismantle a bomb outside a Cairo hotel near the pyramids, a security official said.
Two policemen and two hotel security guards were wounded as they tried to deactivate the explosive device found by security guards outside the Meridien hotel near the Giza pyramids, he said.[146]","Islamic State","Sinai insurgency",10
"271","23","Bombing","27","96","Yola, Nigeria","Millitants detonated a bomb at a parking lot next to a recently built Mosque during Friday prayers in Yola in northeast Nigeria, killing 27 wounded another 96 people. Boko Haram is suspected for the attack.[145]","Boko Haram (suspected)","Boko Haram insurgency",10
"272","23","Suicide bombing","22","40+","Jacobabad, Pakistan","A suicide bomber detonated himself at a religious procession for a Shiite Muslim holiday. The blast killed 22 people, at least five kids among them. Over 40 were wounded. No group have claimed responsibility for the attack.[147][148]","Unknown","Sectarianism in Pakistan",10
"273","24","Bombing","1","50-80","Dhaka, Bangladesh","Islamic State detonated three bombs at a building full with Shias who were preparing for the Mourning of Muharram in Bangladesh's capital, Dhaka. One fourteen-years-old teen was killed and around 50-80 were wounded. Official said that there were some 20,000 people in and outside the building at that time. The attack is the considered to be the first attack against Bangladesh's tiny Shia community.[149]","Islamic State","Internal conflict in Bangladesh",10
"274","26","Suicide bombing","2","19","Najran, Saudi Arabia","Islamic State suicide bomber detonated himself in a Shia in Al-Mashhad mosque in Najran. Two men were killed in the blast and another 19 people were wounded. It is not known if the attacker was killed or not. Islamic State announced they targeted Isma'ilis.[150][151]","Islamic State","",10
"275","26","Melee attack","0 (+1)","1","Near Hebron, West Bank","A Palestinian man stabbed an Israeli, leaving him with a serious wound. The attacker was shot dead by the police.[152]","Palestinian lone wolf","Israeli-Palestinian conflict",10
"276","27","Suicide bombing","7","19","Baghdad, Iraq","Abu Thabit detonated his explosive belt at a tent serving refreshments to Shiite pilgrims. The blast killed seven (including two policemen) and left 19 wounded. Islamic State claimed responsibility.[153]","Islamic State","Iraqi Civil War",10
"277","27","Melee attack","0","1","West Bank","A Palestinian man stabbed an Israeli woman in Gush Etzion in the West Bank, leaving her with moderate wounds. The attacker was later arrested by the police.[154]","Palestinian lone wolf","Israeli-Palestinian conflict",10
"278","29","Melee attack","0 (+1)","1","Hebron, West Bank","A Palestinian man stabbed an Israeli soldier, leaving him with light wounds. The attacker was shot dead by the police.[155]","Palestinian lone wolf","Israeli-Palestinian conflict",10
"279","30","Melee attack","0 (+1)","2","East Jerusalem","A Palestinian man stabbed a person in East Jerusalem, leaving him with moderate wounds. A man who confronted the attacker was injured by police gunfire and the attacker was killed by police.[156]","Palestinian (lone wolf)","Israeli-Palestinian conflict",10
"280","31","Rocket","6","4","Achin, Afghanistan","Suspected Islamic State militants fired a rocket at a mosque in Achin District, Afghanistan, killing six and wounding another four.[157]","Islamic State (suspected)","War in Afghanistan",10
"281","31","Bombing","224","0","Sinai, Egypt","Islamic State affiliated Wilayah Sayna militants have claimed destruction of Metrojet Flight 9268. It was later confirmed that the aircraft had been bombed.[158]","Wilayah Sayna (Islamic State)","Sinai insurgency and Syrian Civil War",10
"282","31","Melee attack, shooting","1","3","Dhaka, Bangladesh","Two attacks were made on secular publishing houses in the Bangladeshi capital of Dhaka.[159][160] In the first attack, Ahmed Rahim Tutul of the Shudhdhoswar publishing house was critically injured, and two writers suffered less serious wounds.[159] In the second attack, Faisal Arefin Deepan of the Jagriti Prokashoni publishing house was hacked to death in his office.[159][160] The day after the attack, teachers, intellectuals and students rallied at Dhaka University to protest the attacks.[159] on the same day, publisher Farid Ahmed of Somoy publishing house received a death threat for publishing the works of atheist authors.","Ansar al-Islam claimed responsibility (not verified); police suspect the banned Islamic extremist group Ansarullah Bangla Team[159]","Attacks on secularists in Bangladesh",10
"283","1","Vehicular assault","0","3","Beit Einun, West Bank","Unknown driver rammed his vehicle at Israeli soldiers in the entrance to Beit Einun in the West Bank, injuring three. The driver fled the scene.[161]","Palestinian (suspected)","Israeli-Palestinian conflict",11
"284","1","Car bomb","12","unknown","Mogadishu, Somalia","Millitants detonated a car bomb on an hotel in Mogadishu, opening their way inside. They then started shooting and throwing grenades at hotel guests, killing 12 people.[162]","Al-Shabaab","War in Somalia",11
"285","3","Melee attack","0","3","Rishon LeZion, Israel","A 19-year-old Palestinian stabbed three people in Rishon LeZion, including an eighty-year-old woman, before being apprehended by civilians and police.[163]","Palestinian lone wolf","Israeli-Palestinian conflict",11
"286","3","Melee attack","0","1 (+1)","Natanya, Israel","A 22-year-old Palestinian man from the West Bank stabbed and seriously injured a 71-year-old man in Netanya. The attacker was shot by the police, who confronted a mob trying to lynch him.[164]","Palestinian lone wolf","Israeli-Palestinian conflict",11
"287","4","Vehicular assault","1 (+1)","0","Halhul, West Bank","Sulemain Shaheen rammed an Israeli border policeman on Highway 60 near Halhul. The policeman was critically injured and died on November 9, the attacker was killed on the spot by other Israeli forces that were on the scene.[165]","Sulemain Shaheen lone wolf","Israeli-Palestinian conflict",11
"288","4","Suicide bombing","3","10","Arish, Egypt","A suicide bomber detonated a car bomb Wednesday near the North Sinai Police Officers Club in the city of Al-Arish, killing three police conscripts and injuring 10 others, the Ministry of Interior said. Wilayah Sayna, an Islamic State-affiliated organization claimed responsibility for the attack.[166]","Wilayah Sayna (Islamic State)","Sinai insurgency",11
"289","5","Suicide bombing","5 (+1)","0","Arsal, Lebanon","A suicide bomber attacked offices in Arsal where the Qalamoun Clerics Association was meeting. The association's head, Sheikh Othman Mansour, was killed as well, along with four other people and the perpetrator.[167]","unknown","Syrian Civil War spillover in Lebanon",11
"290","6","Shooting","0","2","West Bank","Unknown gunmen shot two Israelis near the Cave of the Patriarchs in Hebron, leaving one with moderate wounds, allegedly with a sniper rifle from a neighborhood near the holy site. No group claimed responsibility.[168]","unknown","Israeli-Palestinian conflict",11
"291","6","Melee attack","0","1","Sha'ar Binyamin, West Bank","Baraa Issa stabbed and wounded an Israeli civilian in Sha'ar Binyamin Industrial Zone and then fled the scene. A few hours later, he uploaded a video to Facebook, claiming responsibility for the attack and stating he is a member of Al-Aqsa Martyrs' Brigades.[168]","Baraa Issa (Al-Aqsa Martyrs' Brigades or lone wolf)","Israeli-Palestinian conflict",11
"292","6","Shooting","0","1","Beit Einun junction, West Bank","16 year old Palestinian shot and wounded an IDF soldier. Shin Bet arrested the attacker a day later.[169]","Palestinian lone wolf","Israeli-Palestinian conflict",11
"293","7","Bombing, shooting","12","15","Baghdad, Iraq","Multiple bombs were set off across Baghdad in the Duwanim, Nahrawan, and Tarmiya areas. The blasts killed 9 and left 15 wounded. Three men were also found shot dead. No one has claimed responsibility for the attacks, but Islamic State is suspected.[170]","Islamic State (suspected)","Iraqi Civil War",11
"294","9","Vehicular assault","0 (+1)","4","Kfar Tapuach, West Bank","Sulemain Shaheen rammed his vehicle at a hitchhiking station at Tapuach Junction, wounding four pedestrians. Forces that were on the scene shot and killed the driver.[171]","lone wolf","Israeli-Palestinian conflict",11
"295","9","Melee attack","0 (+1)","1","Beitar Illit, West Bank","A Palestinian woman stabbed an Israeli guard in Beitar Illit. The attacker was shot and killed by Israeli forces.[171]","lone wolf","Israeli-Palestinian conflict",11
"296","9","Melee attack","0","1","Nabi Ilyas, West Bank","Two Palestinians stabbed an Israeli customer in a Palestinian shop.[171]","lone wolf","Israeli-Palestinian conflict",11
"297","9","Suicide bombing","3 (+2)","14","Ngouboua, Chad","Two suicide bombers, suspected to be sent by Boko Haram, have detonated themselves in a village on the shores of Lake Chad. 3 people were killed in the blast, including two kids and another 14 were wounded.[172][173]","Boko Haram (suspected)","Boko Haram insurgency",11
"298","9","Suicide bombing","4 (+1)","20+","Fotokol, Cameroon","14-year-old girl suicide bomber detonated herself at a mosque in Fotokol, killing five people and injured over 20. The army managed to foil another attack by another child bomber.[174]","Boko Haram (suspected)","Boko Haram insurgency",11
"299","10","Melee attack","0","1(+1)","Pisgat Ze'ev, Israel","Two Palestinians aged 11 and 14 stabbed a security guard on the Jerusalem light rail.[175]","lone wolf","Israeli-Palestinian conflict",11
"300","12","Suicide bombing","43","240","Beirut, Lebanon","2015 Beirut bombings: Islamic State suicide bomber detonated a bike loaded with explosives and when onlookers gathered, another suicide bomber detonated himself on them bringing the casualties to 43 dead and 240 wounded.[176]","Islamic State","Syrian Civil War spillover in Lebanon",11
"301","13","Shooting","2","2","Mount Hebron, West Bank","Unknown gunmen ambushed and shot a family car with seven passengers, killing two men and wounding two other, including a 16-year-old teen. The perpetrators fled the scene.[177]","unknown","Israeli-Palestinian conflict",11
"302","13","Bombing","19","33","Baghdad, Iraq","Attacks targeting Shiites in Baghdad, including a suicide bombing. The blasts killed 19 and left 33 wounded. Islamic State claimed responsibility for the attacks.[178]","Islamic State","Iraqi Civil War",11
"303","13","Attack","130 (+7)","368","Paris, France","November 2015 Paris attacks: A series of co-ordinated attacks began over about 35 minutes at six locations in central Paris. The first shooting attack occurred in a restaurant and a bar in the 10th arrondissement of Paris. There was shooting and a bomb detonated at Bataclan theatre in the 11th arrondissement during a rock concert. Approximately 100 hostages were then taken and overall 89 were killed there. Other bombings took place outside the Stade de France stadium in the suburb of Saint-Denis during a football match between France and Germany.[179]","Islamic State","",11
"304","17","Bombing","34+","80","Yola, Nigeria","A bombing took place in a farmer's market near a major road in Yola, Nigeria. Red Cross and National Emergency Management Agency (NEMA) have reported 32 dead and 80 wounded. No group has claimed responsibility but Boko Haram is suspected.[180][181]","Boko Haram (suspected)","Boko Haram insurgency",11
"305","18","Suicide bombing","15 (+2)","123+","Kano, Nigeria","Two girls, aged 11 and 18, detonated themselves in a busy mobile phone market in Kano, Nigeria, killing at least 15 and injuring at least 123. Boko Haram is suspected. The attack is thought to have been revenge for an earlier call by the Emir of Kano, a traditional leader, for citizens to take up arms against the Islamist militants.[182]","Boko Haram (suspected)","Boko Haram insurgency",11
"306","18","Shooting, suicide bombing","2 (+1)","5","Sarajevo, Bosnia and Herzegovina","2015 Sarajevo shooting: Perpetrator Enes Omeragic killed two soldiers and opened fire on a bus, resulting in three more injured civilians. A few hours later Omeragic killed himself with a bomb.[183]","Lone wolf associated with the Salafi movement","",11
"307","19","Melee attack","2","1","Tel Aviv, Israel","2015 synagogue stabbing: A thirty-six-year-old Palestinian man killed two and injured one at a makeshift synagogue in Tel Aviv. He was captured just after the attack and brought into custody.[184][185]","lone wolf","Israeli-Palestinian conflict",11
"308","19","Shooting","3","5","Gush Etzion Junction, West Bank","2015 Gush Etzion Junction shooting: A Palestinian man opened fire on a line of traffic in Gush Etzion, in the West Bank region. The attacker then fled the scene, only to shoot at and intentionally ram into a group of pedestrians at a nearby junction.[186]","lone wolf","Israeli-Palestinian conflict",11
"309","20","Hostage taking, Shooting","27 (+3)","2","Bamako, Mali","2015 Bamako hotel attack: A group of gunmen, who were believed to be Islamic, took several hostages at the Radisson Hotel in Bamako, Mali - among them are 140 visitors and 30 employees. Al-Mourabitoun and Al-Qaeda in the Islamic Maghreb claimed responsibility for the attack.[187]","Al-Mourabitoun
AQIM","Northern Mali conflict",11
"310","20","Bombing","2","9","Yusufiyah, Iraq","A roadside bomb planted near the mosque in Yousifiya went off as worshippers were leaving Friday prayers, killing two civilians and wounding nine. No group claimed responsibility but Islamic State is suspected.[188]","Islamic State (suspected)","Iraqi Civil War",11
"311","20","Suicide bombing","7","28","Yusufiyah, Iraq","A suicide bomber later detonated his explosives-packed vest, killing seven and wounding 28 others. No group claimed responsibility but Islamic State is suspected.[188]","Islamic State (suspected)","Iraqi Civil War",11
"312","21","Suicide bombing","4 (+4)","10+","Fotokol, Cameroon","A suicide bomber detonated himself in a suburb of the Cameroonian town of Fotokol near the border with Nigeria, killing four people. Several minutes after another three suicide bombers detonate themselves but did not kill anyone. Around ten people were injured. Boko Haram is suspected.[189]","Boko Haram (suspected)","Boko Haram insurgency",11
